unique_id,length,category,length_group
M15167,390,Micro,long_history
M11165,306,Micro,long_history
M11572,306,Micro,long_history
M18681,69,Micro,cold_start
M18959,69,Micro,cold_start
M20573,69,Micro,cold_start
M19963,69,Micro,cold_start
M18017,69,Micro,cold_start
M13754,70,Micro,cold_start
M18742,69,Micro,cold_start
M10438,76,Micro,cold_start
M18978,69,Micro,cold_start
M11472,78,Micro,cold_start
M17749,69,Micro,cold_start
M17653,69,Micro,cold_start
M19244,69,Micro,cold_start
M17244,69,Micro,cold_start
M19797,69,Micro,cold_start
M18278,69,Micro,cold_start
M12589,78,Micro,cold_start
M16637,69,Micro,cold_start
M18155,69,Micro,cold_start
M19219,69,Micro,cold_start
M13792,214,Micro,medium
M10673,187,Micro,medium
M14205,272,Micro,medium
M15585,290,Micro,medium
M10533,255,Micro,medium
M13953,293,Micro,medium
M15679,282,Micro,medium
M10598,269,Micro,medium
M10390,281,Micro,medium
M14247,272,Micro,medium
M10966,282,Micro,medium
M10670,212,Micro,medium
M10405,292,Micro,medium
M10558,282,Micro,medium
M14483,272,Micro,medium
M12262,282,Micro,medium
M15619,260,Micro,medium
M13808,224,Micro,medium
M10485,235,Micro,medium
M13895,245,Micro,medium
M15648,95,Micro,short
M15361,82,Micro,short
M12864,102,Micro,short
M11344,150,Micro,short
M15421,175,Micro,short
M12554,102,Micro,short
M10216,174,Micro,short
M14045,159,Micro,short
M10200,112,Micro,short
M13381,102,Micro,short
M12201,102,Micro,short
M13140,102,Micro,short
M15328,175,Micro,short
M11766,126,Micro,short
M17110,155,Micro,short
M10908,102,Micro,short
M12457,102,Micro,short
M13238,102,Micro,short
M12146,102,Micro,short
M14968,102,Micro,short
M7051,104,Macro,short
M7688,104,Macro,short
M4435,168,Macro,short
M4582,180,Macro,short
M7620,104,Macro,short
M4675,168,Macro,short
M3037,84,Macro,short
M7741,104,Macro,short
M4866,152,Macro,short
M7046,104,Macro,short
M4637,168,Macro,short
M8432,104,Macro,short
M7645,104,Macro,short
M4628,168,Macro,short
M7691,104,Macro,short
M7696,104,Macro,short
M2839,162,Macro,short
M7685,104,Macro,short
M7703,104,Macro,short
M2191,102,Macro,short
M25175,202,Demographic,medium
M26366,249,Demographic,medium
M25666,294,Demographic,medium
M25105,202,Demographic,medium
M26421,285,Demographic,medium
M25777,191,Demographic,medium
M26651,282,Demographic,medium
M26337,285,Demographic,medium
M26224,191,Demographic,medium
M24232,224,Demographic,medium
M24962,202,Demographic,medium
M26652,282,Demographic,medium
M25796,191,Demographic,medium
M26676,282,Demographic,medium
M25190,202,Demographic,medium
M24960,202,Demographic,medium
M24981,202,Demographic,medium
M25020,202,Demographic,medium
M25822,191,Demographic,medium
M25088,202,Demographic,medium
M26088,116,Demographic,short
M21579,104,Demographic,short
M21370,186,Demographic,short
M24098,184,Demographic,short
M24432,184,Demographic,short
M26060,116,Demographic,short
M23568,154,Demographic,short
M21283,186,Demographic,short
M26715,107,Demographic,short
M24097,184,Demographic,short
M23628,184,Demographic,short
M26718,179,Demographic,short
M21060,186,Demographic,short
M21134,186,Demographic,short
M21323,186,Demographic,short
M24084,184,Demographic,short
M21023,186,Demographic,short
M21563,172,Demographic,short
M23730,184,Demographic,short
M22323,150,Demographic,short
M23276,306,Demographic,long_history
M24383,334,Demographic,long_history
M22626,330,Demographic,long_history
M22005,306,Demographic,long_history
M23617,334,Demographic,long_history
M21778,306,Demographic,long_history
M23422,306,Demographic,long_history
M23428,306,Demographic,long_history
M24374,334,Demographic,long_history
M22437,306,Demographic,long_history
M21943,306,Demographic,long_history
M21932,306,Demographic,long_history
M22352,306,Demographic,long_history
M26246,352,Demographic,long_history
M21530,368,Demographic,long_history
M22856,306,Demographic,long_history
M22835,306,Demographic,long_history
M22338,306,Demographic,long_history
M24678,334,Demographic,long_history
M21806,306,Demographic,long_history
M21457,76,Demographic,cold_start
M26325,76,Demographic,cold_start
M21456,73,Demographic,cold_start
M21460,64,Demographic,cold_start
M34482,83,Industry,short
M31715,138,Industry,short
M32031,82,Industry,short
M28181,175,Industry,short
M36259,104,Industry,short
M27141,169,Industry,short
M35195,91,Industry,short
M34989,82,Industry,short
M30873,162,Industry,short
M27570,163,Industry,short
M34886,112,Industry,short
M34506,82,Industry,short
M35117,175,Industry,short
M33440,175,Industry,short
M33767,175,Industry,short
M27897,138,Industry,short
M34747,82,Industry,short
M36594,110,Industry,short
M32738,91,Industry,short
M32676,174,Industry,short
M27387,391,Industry,long_history
M29167,306,Industry,long_history
M29790,306,Industry,long_history
M31075,366,Industry,long_history
M29285,306,Industry,long_history
M31895,367,Industry,long_history
M29643,306,Industry,long_history
M29571,306,Industry,long_history
M29666,306,Industry,long_history
M35959,335,Industry,long_history
M30944,330,Industry,long_history
M30102,306,Industry,long_history
M29812,306,Industry,long_history
M29519,306,Industry,long_history
M36058,337,Industry,long_history
M32070,306,Industry,long_history
M29724,306,Industry,long_history
M30305,343,Industry,long_history
M29421,306,Industry,long_history
M30154,306,Industry,long_history
M35463,242,Industry,medium
M31662,294,Industry,medium
M28858,234,Industry,medium
M27843,267,Industry,medium
M35810,218,Industry,medium
M28787,234,Industry,medium
M31724,270,Industry,medium
M28963,234,Industry,medium
M36528,240,Industry,medium
M28664,234,Industry,medium
M27427,247,Industry,medium
M36049,203,Industry,medium
M30325,211,Industry,medium
M36230,237,Industry,medium
M27829,246,Industry,medium
M31939,220,Industry,medium
M35361,230,Industry,medium
M34820,257,Industry,medium
M28099,187,Industry,medium
M31062,258,Industry,medium
M32122,69,Industry,cold_start
M32495,68,Industry,cold_start
M34365,78,Industry,cold_start
M34646,69,Industry,cold_start
M32770,76,Industry,cold_start
M33419,75,Industry,cold_start
M34779,68,Industry,cold_start
M33122,75,Industry,cold_start
M36228,74,Industry,cold_start
M32089,69,Industry,cold_start
M32141,66,Industry,cold_start
M34786,78,Industry,cold_start
M27462,79,Industry,cold_start
M34707,68,Industry,cold_start
M34888,78,Industry,cold_start
M27710,79,Industry,cold_start
M32331,68,Industry,cold_start
M32390,68,Industry,cold_start
M29353,67,Industry,cold_start
M32475,68,Industry,cold_start
M38372,306,Finance,long_history
M43414,383,Finance,long_history
M38169,306,Finance,long_history
M44232,347,Finance,long_history
M40344,391,Finance,long_history
M37954,306,Finance,long_history
M38482,306,Finance,long_history
M38425,306,Finance,long_history
M38259,306,Finance,long_history
M37259,301,Finance,long_history
M38308,306,Finance,long_history
M38684,304,Finance,long_history
M44215,317,Finance,long_history
M44748,339,Finance,long_history
M44180,317,Finance,long_history
M38081,306,Finance,long_history
M38441,306,Finance,long_history
M40768,305,Finance,long_history
M38144,306,Finance,long_history
M38724,305,Finance,long_history
M41414,290,Finance,medium
M37468,234,Finance,medium
M40818,198,Finance,medium
M40939,198,Finance,medium
M41157,199,Finance,medium
M37332,234,Finance,medium
M46100,237,Finance,medium
M41470,284,Finance,medium
M37853,234,Finance,medium
M40919,198,Finance,medium
M40144,214,Finance,medium
M39521,213,Finance,medium
M37545,234,Finance,medium
M42156,247,Finance,medium
M40910,198,Finance,medium
M44457,193,Finance,medium
M43404,294,Finance,medium
M40988,198,Finance,medium
M44405,193,Finance,medium
M46191,237,Finance,medium
M40079,132,Finance,short
M42496,83,Finance,short
M43066,82,Finance,short
M42941,82,Finance,short
M46615,147,Finance,short
M46456,96,Finance,short
M43221,175,Finance,short
M47686,104,Finance,short
M45533,111,Finance,short
M42415,82,Finance,short
M37680,175,Finance,short
M41791,172,Finance,short
M37406,175,Finance,short
M39182,125,Finance,short
M43158,175,Finance,short
M45868,104,Finance,short
M40698,158,Finance,short
M43629,181,Finance,short
M43006,90,Finance,short
M42747,175,Finance,short
M40258,61,Finance,cold_start
M47557,66,Finance,cold_start
M47411,67,Finance,cold_start
M47397,67,Finance,cold_start
M47392,67,Finance,cold_start
M39970,70,Finance,cold_start
M47461,67,Finance,cold_start
M46827,67,Finance,cold_start
M42218,74,Finance,cold_start
M45640,66,Finance,cold_start
M44036,69,Finance,cold_start
M45612,66,Finance,cold_start
M39602,70,Finance,cold_start
M42955,79,Finance,cold_start
M39988,70,Finance,cold_start
M40721,61,Finance,cold_start
M47212,67,Finance,cold_start
M42214,74,Finance,cold_start
M39954,70,Finance,cold_start
M46778,67,Finance,cold_start
M47728,305,Other,long_history
M47792,328,Other,long_history
M47903,360,Other,long_history
M47781,355,Other,long_history
M47899,360,Other,long_history
M47956,357,Other,long_history
M47783,330,Other,long_history
M47953,335,Other,long_history
M47955,357,Other,long_history
M47958,357,Other,long_history
M47782,355,Other,long_history
M47901,360,Other,long_history
M47959,357,Other,long_history
M47790,332,Other,long_history
M47914,350,Other,long_history
M47883,338,Other,long_history
M47902,360,Other,long_history
M47954,335,Other,long_history
M47882,350,Other,long_history
M47733,169,Other,short
M47990,107,Other,short
M47754,175,Other,short
M47729,174,Other,short
M47780,162,Other,short
M48000,118,Other,short
M47739,183,Other,short
M47827,83,Other,short
M47741,183,Other,short
M47981,180,Other,short
M47992,116,Other,short
M47786,186,Other,short
M47738,169,Other,short
M47923,134,Other,short
M47734,169,Other,short
M47764,175,Other,short
M47984,180,Other,short
M47928,134,Other,short
M47818,82,Other,short
M47841,137,Other,short
M47919,242,Other,medium
M47881,230,Other,medium
M47974,190,Other,medium
M47775,233,Other,medium
M47948,218,Other,medium
M47950,218,Other,medium
M47929,286,Other,medium
M47885,193,Other,medium
M47761,246,Other,medium
M47745,234,Other,medium
M47871,230,Other,medium
M47942,218,Other,medium
M47890,229,Other,medium
M47865,193,Other,medium
M47887,193,Other,medium
M47750,234,Other,medium
M47791,296,Other,medium
M47763,234,Other,medium
M47970,190,Other,medium
M47940,218,Other,medium
M47793,68,Other,cold_start
M47799,69,Other,cold_start
M47825,68,Other,cold_start
M47807,55,Other,cold_start
M47830,68,Other,cold_start
M47904,60,Other,cold_start
M47822,68,Other,cold_start
M47826,60,Other,cold_start
M47851,43,Other,cold_start
M47806,66,Other,cold_start
M47855,63,Other,cold_start
M47796,66,Other,cold_start
M47849,53,Other,cold_start
M47821,65,Other,cold_start
M47802,69,Other,cold_start
M47811,48,Other,cold_start
M47800,69,Other,cold_start
M47798,69,Other,cold_start
M47845,63,Other,cold_start
M47813,66,Other,cold_start
